,variables,"Imp,var Austria","Imp,var Croatia","Imp,var Czechia","Imp,var Denmark","Imp,var Estonia","Imp,var Finland","Imp,var France","Imp,var Germany","Imp,var Great-Britain","Imp,var Hungary","Imp,var Italy","Imp,var Lithuania","Imp,var Netherlands","Imp,var Norway","Imp,var Poland","Imp,var Portugal","Imp,var Romania","Imp,var Slovakia","Imp,var Slovenia","Imp,var Spain","Imp,var Sweden"
43,dmc_wmn,"2,51827652000052","3,11194702125298","3,77554516744029","0,909328648172652","0,750618170201483","0,419545602530928","3,39060978292705","1,67693672722513","2,32729662099416","1,01924221430617","1,94766862037901","2,84459538329965","2,82134291945853","3,54849901280125","1,05944528093355","0,189476247767395","1,14337410507914","2,39786581442238","1,2256724731644","0,564085964014243","0,615732175885264"
44,dut_chl,"3,18416833238937","2,59592880135373","4,28134787782629","2,32866525468838","1,20613900333675","1,02506714254907","3,21494800744743","2,26060310697184","2,31839513881277","1,14924906161345","2,449844259385","2,26115716287347","3,47366333133568","1,68643103404593","1,35819818899726","0,84303671627752","1,16536562037208","2,3748548366159","1,40314687486849","0,926268664869097","0,680283236151002"
45,dut_ill,"3,00472434258882","1,57482499800232","3,72447935871378","2,1752015660223","1,56623159258848","0,686049620136753","2,86950768001171","2,01382635742938","2,99903873729085","0,96977410921245","2,05403265867211","2,20743445214463","4,02431395271212","2,49783620458008","1,14359475080375","0,138455253466562","1,15136914843202","1,72320905867873","1,390858816504","0,784194240575861","0,559202737234264"
46,edu_lvl,"1,39940991894229","1,21930267885308","26,6657031874882","0,935373011332646","0,988380496534853","0,372443652997504","1,9041454628291","0,913978923212218","1,95596854441199","0,989521272615893","1,27020928814722","2,25693419896301","4,42313090433318","1,49459379134606","0,929462163807806","0,590292730889049","2,40122322014941","1,07875053774986","1,30700377284073","0,462379074440581","0,611475983414302"
47,el_brb,"2,03878785665127","2,96078246138582","4,48885788786554","1,55621315519549","0,662348371948625","0,667823486737687","3,473627275656","1,77794585908115","2,7060307799182","1,52694851574446","2,59349514984359","2,64364943383825","2,55419285609516","1,493342416823","1,5968816034017","0,423545809042708","2,04636252235052","1,87027264586524","0,892278574326971","1,50493490617029","0,515274464152"
48,el_fair,"1,73873798050643","3,99704956630282","2,64954537643738","0,863620035186206","1,25292860410331","0,536242528989346","2,86527609451233","2,16458959305407","2,44052083386745","1,72320640195324","3,17700076714834","2,80881392425026","4,1978222354718","0,688410777044394","1,49699921056764","0,0809240226158943","0,702132912268916","1,31600910924449","0,879626190018071","0,952730884485907","0,118608664576088"
49,el_jrn,"1,96806006007597","2,10976314035346","3,17511807995806","1,58567543415412","0,760185136842593","0,810325402331251","2,7145975053583","2,81395358103818","2,50694415176495","0,956433785499057","1,83540118527437","2,61387861372711","2,79123474324135","1,89035921969911","2,05586603079069","0,512995486621315","0,909503661390205","2,13833910751549","1,48229280266751","1,0651460378074","1,83551079833592"
50,el_off,"1,97513242502369","3,40727098913113","2,86231181137242","1,52305411243386","0,877326023688387","0,889097440250986","2,84295334562283","2,19810355444379","3,71349667577293","0,961786100240749","2,30402599938754","2,46708477626741","3,09607173760471","1,03674502427855","1,24728045959707","0,584157323566794","0,879892212061415","1,61046429514776","1,13859718617287","0,555378434197709","0,661336937599881"
51,el_opp,"2,28700761596698","2,09457189392088","2,66855679867663","1,13276797962679","1,36532475550444","0,301760053825605","5,03427548167659","1,93928049126954","1,84448534324639","0,654632028845735","1,9652784411841","11,6546184889712","6,56513714682054","1,24785232062021","1,10485951438713","0,124047681077093","0,96138461694463","1,9754175765058","1,57615674571954","0,538887130601525","0,424635792648125"
52,el_rch,"1,41641502937572","2,47269974973214","3,71464258962467","2,21738288586797","0,744858437755862","0,577820907767646","5,22404922266021","1,62144924319817","2,18151803418218","0,868566840927733","4,91769836751362","5,20885751099657","3,88027488079642","1,9520767317334","1,74032046291594","0,174378733150227","1,20275551855389","2,24869408237782","1,25030755337374","0,879631283623574","0,687798604049463"
